COMID,lat,lon,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
71027942,51.0975344152936,-114.209554457488,0.0137518895789981,0,2.94004366878653e-05,0.00272248056717217,0.12675316631794,0.136522948741913,0.000411606102716178,0.0519644282758236,0.00392392883077264,0.637853741645813,0.026066429913044,0
71027957,51.1561597073624,-114.40650772078,0.00983298290520906,0,5.83377659495454e-05,0.000645199266728014,0.223329871892929,0.391275882720947,0.000780017056968063,0.213510319590569,0.000838758482132107,0.125328809022903,0.0343997702002525,0
71027962,51.1846480472298,-114.491796094459,0.0298730880022049,0,0,0,0.161311194300652,0.243107169866562,0,0.00496644154191017,0,0.469290792942047,0.0914513021707535,0
71027963,51.200961728395,-114.506737037037,0.00876559503376484,0,0,0,0.14784038066864,0.333269268274307,0.00111113174352795,0.0610874854028225,0.000246347975917161,0.427194893360138,0.0204848870635033,0
71027969,51.1940971205465,-114.572981179844,0.0022775074467063,0,0.00854653865098953,0.0079846503213048,0.412921488285065,0.322306245565414,0.000304987508570775,0.193453878164291,0.000396483781514689,0.0262513533234596,0.0255568716675043,0
71027979,51.2136778573052,-114.593959611452,0.0145732909440994,0,0.00447596376761794,0.00661364383995533,0.408068507909775,0.369094282388687,0.00715955393388867,0.142532467842102,0.000568218587432057,0.0214282814413309,0.0254857651889324,0
71027981,51.2140071368598,-114.641518891688,0.0293631590902805,0,0.00804906338453293,0.0251908097416162,0.439282089471817,0.298675090074539,0.00201571453362703,0.0498931668698788,0,0.0880625173449516,0.0594683885574341,0
71027992,51.20581509299,-114.683994277539,0.0365479812026024,0,0.0170610975474119,0.0199252348393202,0.484930902719498,0.319947689771652,0,0.0069265621714294,0.0033135823905468,0.0408646203577518,0.0704823508858681,0
71028007,51.1860929967014,-114.782376511884,0.105486385524273,0,0.00118377665057778,0.00533764529973269,0.419736802577972,0.268951028585434,0,0.0174422319978476,0.000194905122043565,0.0605186969041824,0.121148481965065,0
71028014,51.1664030131827,-114.863915402914,0.0822438076138496,0,0,0,0.303069561719894,0.336345106363297,0,0.0228531565517187,0.00252567860297859,0.213057085871696,0.0399056151509285,0
71028023,51.1365109509589,-114.937076678354,0.190894961357117,0,0,0.000324190623359755,0.329800695180893,0.300668925046921,0,0.0180122964084148,0.00652587506920099,0.131946057081223,0.0218270011246204,0
71028027,51.1199646163263,-114.994558947288,0.144269093871117,0,0,0,0.182547315955162,0.456513077020645,0,0.00709870690479875,0.00313338334672153,0.187125414609909,0.019313020631671,0
71028039,51.123275208612,-115.057756226511,0.305098831653595,0,0,0.000286170485196635,0.415818303823471,0.163731649518013,0.000413357367506251,0.0010305872419849,0.0103294234722853,0.0460025928914547,0.0572890751063824,0
71028054,51.0735166705954,-115.129856735025,0.486050337553024,0,7.83602590672672e-05,0,0.0971768870949745,0.125933736562729,0.000705242389813066,0.00100562337320298,0.214841693639755,0.0479256212711334,0.0262825153768063,0
71028062,51.1442543913026,-114.528298851973,0.0110045652836561,0,0.00348848826251924,0.00895094964653254,0.426101177930832,0.280284374952316,0.000162070893566124,0.224748119711876,0,0.0349316522479057,0.010328589938581,0
71028073,51.0564601051123,-115.217810001593,0.447293102741241,0,0,0,0.0395414754748344,0.0873654559254646,0.000381052203010768,0,0.292354971170425,0.0640863254666328,0.0689776018261909,0
71028095,51.0467122973386,-115.315660837497,0.568805932998657,0,0,0,0.0535360164940357,0.0757129341363907,0,0,0.207571461796761,0.0736806616187096,0.0206929408013821,0
71028097,51.1015287642045,-114.565284288195,0.0310753919184208,0,0.000236242631217465,0.000669354107230902,0.445502191781998,0.257520169019699,0.000236242631217465,0.195562690496445,0,0.0613407902419567,0.00785692967474461,0
71028132,51.0395826271187,-114.578240112994,0.199654191732407,0,0.00099289056379348,0.00190776609815657,0.521995306015015,0.1893540173769,0.000200472029973753,0.063948780298233,0.00351895554922521,0.0150141892954707,0.00341338687576354,0
71028140,51.1114188309201,-115.395322212008,0.55363941192627,0,0,0,0.0317808873951435,0.115179672837257,0,0,0.22268258035183,0.0531338043510914,0.0235836431384087,0
71028159,51.1491671240395,-115.467816959385,0.595286190509796,0,0,0,0.0111723905429244,0.0525163598358631,0,0,0.28624615073204,0.0151983266696334,0.039580550044775,0
